image_id,image_ref,label_source,usable_for_training,material_category,sub_category,material_code,weight_kg,city,month,lighting,background,hand_for_scale,split
IMG900042,img/pilot/0042.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,17.7,Pune,2026-08,indoor_tube,floor_mat,False,train
IMG900043,img/pilot/0043.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,34.5,Mumbai,2026-07,daylight,cluttered_yard,True,train
IMG900044,img/pilot/0044.jpg,field_capture_pilot,True,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,11.5,Pune,2026-05,shade,cluttered_yard,False,test
IMG900045,img/pilot/0045.jpg,field_capture_pilot,True,Mixed plastic,Mixed dirty,PLA-MIX,22.0,Pune,2025-03,low_light,cluttered_yard,False,train
IMG900046,img/pilot/0046.jpg,field_capture_pilot,True,Motor & magnet-bearing,Compressor motor,MTR-CMP,5.4,Pune,2026-03,shade,floor_mat,False,train
IMG900047,img/pilot/0047.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,32.7,Mumbai,2025-10,flash,cart,False,val
IMG900048,img/pilot/0048.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,92.3,Pune,2025-10,shade,cluttered_yard,False,train
IMG900049,img/pilot/0049.jpg,field_capture_pilot,True,Battery,Lead-acid,BAT-PB,3.6,Pimpri-Chinchwad,2026-07,low_light,cluttered_yard,False,train
IMG900050,img/pilot/0050.jpg,field_capture_pilot,True,Mixed plastic,ABS casing,PLA-ABS,40.3,Mumbai,2026-05,daylight,cart,True,train
IMG900051,img/pilot/0051.jpg,field_capture_pilot,True,PCB,RAM / gold-finger,PCB-RAM,32.1,Pune,2025-08,daylight,floor_mat,False,train
IMG900052,img/pilot/0052.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,109.2,Aurangabad,2026-07,indoor_tube,floor_mat,True,train
IMG900053,img/pilot/0053.jpg,field_capture_pilot,True,Motor & magnet-bearing,HDD assembly,MTR-HDD,10.6,Mumbai,2026-08,shade,floor_mat,True,train
IMG900054,img/pilot/0054.jpg,field_capture_pilot,True,CRT,Colour TV tube,CRT-CTV,43.7,Aurangabad,2025-05,shade,shop_counter,False,test
IMG900055,img/pilot/0055.jpg,field_capture_pilot,True,Battery,Ni-MH,BAT-NIMH,10.7,Pune,2025-11,low_light,shop_counter,False,val
IMG900056,img/pilot/0056.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,73.0,Nashik,2025-11,indoor_tube,shop_counter,False,train
IMG900057,img/pilot/0057.jpg,field_capture_pilot,True,PCB,Mixed populated board,PCB-MIX,4.2,Pune,2026-03,low_light,shop_counter,False,train
IMG900058,img/pilot/0058.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,9.0,Pimpri-Chinchwad,2026-05,indoor_tube,cart,False,train
IMG900059,img/pilot/0059.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,31.6,Pune,2026-08,shade,floor_mat,False,train
IMG900060,img/pilot/0060.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,9.7,Pune,2025-12,flash,cart,True,train
IMG900061,img/pilot/0061.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,15.3,Mumbai,2026-03,low_light,cluttered_yard,True,train
IMG900062,img/pilot/0062.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,16.0,Mumbai,2026-06,daylight,shop_counter,True,train
IMG900063,img/pilot/0063.jpg,field_capture_pilot,True,LCD/LED panel,Backlight assembly,LCD-BLA,20.1,Mumbai,2026-01,daylight,cluttered_yard,False,train
IMG900064,img/pilot/0064.jpg,field_capture_pilot,True,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,17.2,Pune,2025-11,low_light,cluttered_yard,False,train
IMG900065,img/pilot/0065.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,8.4,Nashik,2026-07,flash,cluttered_yard,False,train
IMG900066,img/pilot/0066.jpg,field_capture_pilot,True,CRT,Colour TV tube,CRT-CTV,10.8,Aurangabad,2025-11,low_light,cart,False,train
IMG900067,img/pilot/0067.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,73.6,Pimpri-Chinchwad,2025-11,daylight,cart,False,test
IMG900068,img/pilot/0068.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,7.0,Nagpur,2026-01,flash,floor_mat,False,train
IMG900069,img/pilot/0069.jpg,field_capture_pilot,True,Motor & magnet-bearing,HDD assembly,MTR-HDD,25.7,Pune,2026-02,daylight,floor_mat,True,test
IMG900070,img/pilot/0070.jpg,field_capture_pilot,True,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,3.1,Nashik,2025-08,shade,cart,True,train
IMG900071,img/pilot/0071.jpg,field_capture_pilot,True,LCD/LED panel,Monitor panel,LCD-MON,16.9,Mumbai,2025-10,indoor_tube,floor_mat,False,train
IMG900072,img/pilot/0072.jpg,field_capture_pilot,True,PCB,GPU / add-on card,PCB-GPU,15.1,Nagpur,2025-06,shade,shop_counter,False,train
IMG900073,img/pilot/0073.jpg,field_capture_pilot,True,Battery,Li-ion laptop / phone pack,BAT-LI,1.7,Mumbai,2025-05,flash,cluttered_yard,True,train
IMG900074,img/pilot/0074.jpg,field_capture_pilot,True,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,30.5,Nashik,2026-02,daylight,floor_mat,False,train
IMG900075,img/pilot/0075.jpg,field_capture_pilot,True,Motor & magnet-bearing,Speaker magnet,MTR-SPK,7.4,Nashik,2025-05,indoor_tube,shop_counter,True,train
IMG900076,img/pilot/0076.jpg,field_capture_pilot,True,Motor & magnet-bearing,HDD assembly,MTR-HDD,11.6,Mumbai,2026-08,daylight,cluttered_yard,False,train
IMG900077,img/pilot/0077.jpg,field_capture_pilot,True,Cable,Mixed insulated,CBL-MIX,127.6,Pune,2025-09,indoor_tube,floor_mat,False,test
IMG900078,img/pilot/0078.jpg,field_capture_pilot,True,Motor & magnet-bearing,Compressor motor,MTR-CMP,23.7,Mumbai,2025-11,daylight,cluttered_yard,False,val
IMG900079,img/pilot/0079.jpg,field_capture_pilot,True,Cable,Mixed insulated,CBL-MIX,56.4,Mumbai,2026-01,shade,cluttered_yard,False,train
IMG900080,img/pilot/0080.jpg,field_capture_pilot,True,Battery,Li-ion laptop / phone pack,BAT-LI,5.8,Mumbai,2025-04,daylight,cluttered_yard,False,val
IMG900081,img/pilot/0081.jpg,field_capture_pilot,True,Battery,Lead-acid,BAT-PB,4.5,Nashik,2026-05,shade,floor_mat,False,train
IMG900082,img/pilot/0082.jpg,field_capture_pilot,True,Battery,Button / coin cell,BAT-BTN,14.3,Nagpur,2025-10,indoor_tube,cart,False,val
IMG900083,img/pilot/0083.jpg,field_capture_pilot,True,Mixed plastic,HIPS,PLA-HIPS,38.7,Nashik,2025-12,shade,cluttered_yard,False,train
IMG900084,img/pilot/0084.jpg,field_capture_pilot,True,Mixed plastic,PC/ABS blend,PLA-PCABS,78.6,Aurangabad,2026-07,daylight,cluttered_yard,False,train
IMG900085,img/pilot/0085.jpg,field_capture_pilot,True,Motor & magnet-bearing,HDD assembly,MTR-HDD,5.4,Mumbai,2025-05,indoor_tube,shop_counter,False,train
IMG900086,img/pilot/0086.jpg,field_capture_pilot,True,Battery,Lead-acid,BAT-PB,7.7,Mumbai,2026-08,daylight,cluttered_yard,True,train
IMG900087,img/pilot/0087.jpg,field_capture_pilot,True,PCB,Motherboard (high grade),PCB-MBH,26.4,Nashik,2025-09,daylight,cart,True,test
IMG900088,img/pilot/0088.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,12.6,Mumbai,2026-06,daylight,plain,False,train
IMG900089,img/pilot/0089.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,7.3,Pune,2026-08,low_light,cluttered_yard,False,val
IMG900090,img/pilot/0090.jpg,field_capture_pilot,True,CRT,Colour TV tube,CRT-CTV,63.0,Pune,2026-03,low_light,floor_mat,True,val
IMG900091,img/pilot/0091.jpg,field_capture_pilot,True,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,33.7,Pune,2025-06,low_light,cluttered_yard,False,train
IMG900092,img/pilot/0092.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,21.4,Pune,2026-02,daylight,cluttered_yard,False,train
IMG900093,img/pilot/0093.jpg,field_capture_pilot,True,Battery,Ni-MH,BAT-NIMH,2.6,Mumbai,2025-09,daylight,cart,True,train
IMG900094,img/pilot/0094.jpg,field_capture_pilot,True,Mixed plastic,HIPS,PLA-HIPS,22.8,Pune,2026-06,flash,floor_mat,False,train
IMG900095,img/pilot/0095.jpg,field_capture_pilot,True,Battery,Ni-MH,BAT-NIMH,20.2,Pune,2026-01,indoor_tube,cluttered_yard,False,train
IMG900096,img/pilot/0096.jpg,field_capture_pilot,True,Mixed plastic,ABS casing,PLA-ABS,20.3,Pune,2025-07,shade,cluttered_yard,False,train
IMG900097,img/pilot/0097.jpg,field_capture_pilot,True,PCB,GPU / add-on card,PCB-GPU,2.1,Nagpur,2026-01,daylight,cluttered_yard,False,test
IMG900098,img/pilot/0098.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,26.9,Pune,2025-12,shade,cluttered_yard,False,train
IMG900099,img/pilot/0099.jpg,field_capture_pilot,True,Battery,Lead-acid,BAT-PB,1.1,Aurangabad,2025-09,daylight,cart,False,train
IMG900100,img/pilot/0100.jpg,field_capture_pilot,True,CRT,Colour TV tube,CRT-CTV,28.0,Mumbai,2026-01,daylight,shop_counter,True,train
IMG900101,img/pilot/0101.jpg,field_capture_pilot,True,PCB,GPU / add-on card,PCB-GPU,2.3,Mumbai,2026-01,daylight,cluttered_yard,True,train
IMG900102,img/pilot/0102.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,30.3,Pune,2025-11,shade,floor_mat,False,train
IMG900103,img/pilot/0103.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,6.8,Nashik,2025-06,indoor_tube,cluttered_yard,True,train
IMG900104,img/pilot/0104.jpg,field_capture_pilot,True,Cable,Mixed insulated,CBL-MIX,63.4,Aurangabad,2025-03,flash,floor_mat,False,val
IMG900105,img/pilot/0105.jpg,field_capture_pilot,True,Battery,Ni-MH,BAT-NIMH,29.5,Nashik,2025-12,daylight,shop_counter,True,train
IMG900106,img/pilot/0106.jpg,field_capture_pilot,True,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,5.8,Nashik,2026-03,shade,shop_counter,False,train
IMG900107,img/pilot/0107.jpg,field_capture_pilot,True,Motor & magnet-bearing,HDD assembly,MTR-HDD,26.3,Nagpur,2025-06,shade,plain,True,train
IMG900108,img/pilot/0108.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,28.7,Aurangabad,2025-04,flash,cluttered_yard,False,train
IMG900109,img/pilot/0109.jpg,field_capture_pilot,True,Mixed plastic,HIPS,PLA-HIPS,44.5,Pimpri-Chinchwad,2025-12,daylight,cluttered_yard,True,train
IMG900110,img/pilot/0110.jpg,field_capture_pilot,True,Battery,Li-ion laptop / phone pack,BAT-LI,3.7,Nashik,2025-03,daylight,shop_counter,False,test
IMG900111,img/pilot/0111.jpg,field_capture_pilot,True,LCD/LED panel,TV panel,LCD-TV,24.9,Mumbai,2025-12,low_light,cart,True,train
IMG900112,img/pilot/0112.jpg,field_capture_pilot,True,Mixed plastic,HIPS,PLA-HIPS,18.2,Pune,2026-03,flash,cart,True,val
IMG900113,img/pilot/0113.jpg,field_capture_pilot,True,Mixed plastic,PC/ABS blend,PLA-PCABS,51.2,Mumbai,2026-02,daylight,cluttered_yard,False,val
IMG900114,img/pilot/0114.jpg,field_capture_pilot,True,PCB,RAM / gold-finger,PCB-RAM,4.6,Mumbai,2026-01,shade,cluttered_yard,True,train
IMG900115,img/pilot/0115.jpg,field_capture_pilot,True,CRT,Monochrome monitor tube,CRT-MON,87.0,Pune,2025-03,indoor_tube,cluttered_yard,False,train
IMG900116,img/pilot/0116.jpg,field_capture_pilot,True,Mixed plastic,ABS casing,PLA-ABS,6.4,Aurangabad,2025-04,daylight,cart,False,train
IMG900117,img/pilot/0117.jpg,field_capture_pilot,True,Motor & magnet-bearing,HDD assembly,MTR-HDD,22.2,Nashik,2025-09,shade,cart,True,train
IMG900118,img/pilot/0118.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,13.4,Aurangabad,2025-06,daylight,plain,True,train
IMG900119,img/pilot/0119.jpg,field_capture_pilot,True,Battery,Button / coin cell,BAT-BTN,11.2,Nashik,2026-03,indoor_tube,floor_mat,True,test
IMG900120,img/pilot/0120.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,16.5,Mumbai,2026-01,daylight,shop_counter,True,val
IMG900121,img/pilot/0121.jpg,field_capture_pilot,True,Mixed plastic,Mixed dirty,PLA-MIX,14.3,Nashik,2025-05,daylight,cluttered_yard,False,val
IMG900122,img/pilot/0122.jpg,field_capture_pilot,True,Mixed plastic,PC/ABS blend,PLA-PCABS,44.8,Mumbai,2025-07,shade,cluttered_yard,True,train
IMG900123,img/pilot/0123.jpg,field_capture_pilot,True,Mixed plastic,ABS casing,PLA-ABS,61.6,Mumbai,2025-03,shade,plain,True,train
IMG900124,img/pilot/0124.jpg,field_capture_pilot,True,PCB,GPU / add-on card,PCB-GPU,45.0,Aurangabad,2026-04,daylight,shop_counter,False,train
IMG900125,img/pilot/0125.jpg,field_capture_pilot,True,PCB,TV / appliance board (low grade),PCB-LOW,9.3,Pune,2025-03,indoor_tube,cluttered_yard,True,val
IMG900126,img/pilot/0126.jpg,field_capture_pilot,True,PCB,Motherboard (high grade),PCB-MBH,8.4,Pune,2026-03,shade,cart,True,train
IMG900127,img/pilot/0127.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,9.7,Mumbai,2026-03,daylight,cart,True,train
IMG900128,img/pilot/0128.jpg,field_capture_pilot,True,Mixed plastic,ABS casing,PLA-ABS,38.3,Mumbai,2025-08,daylight,shop_counter,False,test
IMG900129,img/pilot/0129.jpg,field_capture_pilot,True,PCB,Motherboard (high grade),PCB-MBH,24.9,Pune,2025-05,low_light,floor_mat,True,train
IMG900130,img/pilot/0130.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,13.1,Nagpur,2026-08,shade,floor_mat,True,train
IMG900131,img/pilot/0131.jpg,field_capture_pilot,True,LCD/LED panel,Laptop panel,LCD-LAP,38.6,Pune,2026-08,shade,cluttered_yard,True,train
IMG900132,img/pilot/0132.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,46.7,Mumbai,2025-05,daylight,cart,True,train
IMG900133,img/pilot/0133.jpg,field_capture_pilot,True,PCB,RAM / gold-finger,PCB-RAM,11.6,Pimpri-Chinchwad,2025-05,low_light,cluttered_yard,False,val
IMG900134,img/pilot/0134.jpg,field_capture_pilot,True,Mixed plastic,ABS casing,PLA-ABS,27.5,Nashik,2025-05,daylight,cluttered_yard,False,train
IMG900135,img/pilot/0135.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,24.8,Aurangabad,2025-08,shade,cluttered_yard,False,val
IMG900136,img/pilot/0136.jpg,field_capture_pilot,True,LCD/LED panel,Monitor panel,LCD-MON,18.4,Nagpur,2025-10,daylight,floor_mat,True,train
IMG900137,img/pilot/0137.jpg,field_capture_pilot,True,Motor & magnet-bearing,Compressor motor,MTR-CMP,29.3,Pune,2025-05,shade,cart,False,train
IMG900138,img/pilot/0138.jpg,field_capture_pilot,True,PCB,Mixed populated board,PCB-MIX,5.5,Mumbai,2025-03,daylight,shop_counter,False,train
IMG900139,img/pilot/0139.jpg,field_capture_pilot,True,Motor & magnet-bearing,Speaker magnet,MTR-SPK,4.7,Nagpur,2025-05,daylight,cart,False,test
IMG900140,img/pilot/0140.jpg,field_capture_pilot,True,Cable,Mixed insulated,CBL-MIX,19.6,Pimpri-Chinchwad,2025-09,low_light,shop_counter,True,train
IMG900141,img/pilot/0141.jpg,field_capture_pilot,True,PCB,Motherboard (high grade),PCB-MBH,1.3,Nashik,2025-07,daylight,cart,True,test
IMG900142,img/pilot/0142.jpg,field_capture_pilot,True,PCB,GPU / add-on card,PCB-GPU,1.9,Nashik,2025-07,shade,floor_mat,False,train
IMG900143,img/pilot/0143.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,50.1,Pune,2025-04,daylight,cluttered_yard,False,train
IMG900144,img/pilot/0144.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,41.3,Nagpur,2025-12,daylight,cart,True,train
IMG900145,img/pilot/0145.jpg,field_capture_pilot,True,Mixed plastic,Mixed dirty,PLA-MIX,100.4,Nashik,2025-09,daylight,cluttered_yard,True,train
IMG900146,img/pilot/0146.jpg,field_capture_pilot,True,Mixed plastic,Mixed dirty,PLA-MIX,7.5,Pimpri-Chinchwad,2025-09,shade,cart,True,train
IMG900147,img/pilot/0147.jpg,field_capture_pilot,True,Motor & magnet-bearing,Small AC/DC motor,MTR-SML,38.0,Mumbai,2025-08,shade,cluttered_yard,False,test
IMG900148,img/pilot/0148.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,44.4,Pune,2025-11,shade,cluttered_yard,True,train
IMG900149,img/pilot/0149.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,21.5,Nagpur,2026-06,flash,cluttered_yard,False,test
IMG900150,img/pilot/0150.jpg,field_capture_pilot,True,PCB,RAM / gold-finger,PCB-RAM,35.4,Mumbai,2025-09,flash,floor_mat,False,val
IMG900151,img/pilot/0151.jpg,field_capture_pilot,True,Mixed plastic,ABS casing,PLA-ABS,45.1,Aurangabad,2026-02,low_light,cluttered_yard,False,train
IMG900152,img/pilot/0152.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,32.6,Nagpur,2026-08,daylight,shop_counter,True,train
IMG900153,img/pilot/0153.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,66.3,Mumbai,2026-02,indoor_tube,plain,False,train
IMG900154,img/pilot/0154.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,31.5,Pimpri-Chinchwad,2026-06,flash,cluttered_yard,False,train
IMG900155,img/pilot/0155.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,25.9,Mumbai,2026-03,daylight,cart,False,train
IMG900156,img/pilot/0156.jpg,field_capture_pilot,True,Cable,Mixed insulated,CBL-MIX,24.3,Mumbai,2026-04,low_light,cluttered_yard,True,val
IMG900157,img/pilot/0157.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,27.2,Mumbai,2025-11,shade,floor_mat,True,train
IMG900158,img/pilot/0158.jpg,field_capture_pilot,True,Motor & magnet-bearing,Speaker magnet,MTR-SPK,14.3,Nagpur,2026-07,low_light,cluttered_yard,False,train
IMG900159,img/pilot/0159.jpg,field_capture_pilot,True,Battery,Ni-MH,BAT-NIMH,6.1,Nagpur,2025-05,shade,cluttered_yard,False,train
IMG900160,img/pilot/0160.jpg,field_capture_pilot,True,CRT,Colour TV tube,CRT-CTV,37.0,Nagpur,2025-10,shade,cluttered_yard,True,train
IMG900161,img/pilot/0161.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,25.6,Aurangabad,2025-09,daylight,cluttered_yard,False,train
IMG900162,img/pilot/0162.jpg,field_capture_pilot,True,Mixed plastic,ABS casing,PLA-ABS,200.0,Nagpur,2026-03,low_light,plain,True,train
IMG900163,img/pilot/0163.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,63.1,Pune,2026-01,daylight,cart,False,train
IMG900164,img/pilot/0164.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,13.4,Mumbai,2026-02,indoor_tube,cart,False,train
IMG900165,img/pilot/0165.jpg,field_capture_pilot,True,PCB,GPU / add-on card,PCB-GPU,2.8,Mumbai,2026-07,low_light,cluttered_yard,True,train
IMG900166,img/pilot/0166.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,12.0,Mumbai,2025-08,flash,cluttered_yard,False,train
IMG900167,img/pilot/0167.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,10.6,Mumbai,2025-10,low_light,floor_mat,False,train
IMG900168,img/pilot/0168.jpg,field_capture_pilot,True,PCB,Mixed populated board,PCB-MIX,5.3,Mumbai,2026-04,shade,cart,False,train
IMG900169,img/pilot/0169.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,74.1,Nashik,2026-05,shade,cart,False,val
IMG900170,img/pilot/0170.jpg,field_capture_pilot,True,LCD/LED panel,Monitor panel,LCD-MON,7.3,Mumbai,2026-06,daylight,shop_counter,True,train
